"","year","date","seat","type","women"
"4",1,"1920-04-23",324,"General",0
"4",5,"1935-02-08",428,"General",18
"5",6,"1939-03-26",428,"General",13
"6",7,"1943-02-28",428,"General",12
"4",5,"1935-02-08",428,"General",18
"5",6,"1939-03-26",428,"General",13
"6",7,"1943-02-28",428,"General",12
"7",8,"1946-07-21",465,"General",8
"8",9,"1950-05-14",539,"General",7
"9",10,"1954-05-02",541,"General",7
"10",11,"1957-10-27",610,"General",9
"11",12,"1961-10-15",450,"General",4
"12",13,"1965-10-10",450,"General",8
"13",14,"1969-10-12",450,"General",6
"14",15,"1973-10-14",450,"General",7
"15",16,"1977-06-05",450,"General",3
"16",17,"1983-11-06",399,"General",14
"17",18,"1987-11-29",450,"General",7
"18",19,"1991-10-20",450,"General",8
"19",20,"1995-12-24",550,"General",12
"20",21,"1999-04-18",550,"General",20
"21",22,"2002-11-03",555,"General",23
"22",23,"2007-07-22",550,"General",48
"23",24,"2011-06-12",550,"General",77
"24",25,"2015-06-07",550,"General",96
"25",26,"2015-11-01",550,"General",80
