"","year","party","gender","count"
"1",1,"Adalet ve Kalkinma Partisi","Male",474
"2",1,"Adalet ve Kalkinma Partisi","Female",126
"3",2,"Cumhuriyet Halk Partisi","Male",463
"4",2,"Cumhuriyet Halk Partisi","Female",137
"5",3,"Halklarin Demokratik Partisi","Male",372
"6",3,"Halklarin Demokratik Partisi","Female",228
"7",4,"Iyi Parti","Male",450
"8",4,"Iyi Parti","Female",150
"9",5,"Milliyetçi Hareket Partisi","Male",431
"10",5,"Milliyetçi Hareket Partisi","Female",69
"11",6,"Saadet Partisi","Male",521
"12",6,"Saadet Partisi","Female",79
"13",7,"Vatan Partisi","Male",450
"14",7,"Vatan Partisi","Female",150
